State,Terminal Locations,E10,ULP,95 Premium,98 Premium,Diesel,Date
QLD,Whinstanes,194.91,195.90,205.73,214.52,229.13,2026-03-10
SA,Birkenhead,N/A,197.02,206.65,213.59,229.91,2026-03-10
VIC,Melbourne,195.64,197.36,208.15,215.49,230.42,2026-03-10
WA,Perth,N/A,193.97,201.14,206.98,228.06,2026-03-10
NSW,Botany,205.25,206.20,217.39,224.94,247.31,2026-03-11
NSW,Newcastle,204.75,207.58,218.23,N/A,246.73,2026-03-11
NSW,Silverwater,205.25,206.20,217.39,N/A,247.31,2026-03-11
NT,Darwin,N/A,209.55,219.80,N/A,250.38,2026-03-11
QLD,Cairns,203.12,207.27,219.46,N/A,245.94,2026-03-11
QLD,Gladstone,N/A,207.79,217.44,N/A,245.74,2026-03-11
QLD,Mackay,205.71,208.30,216.62,N/A,246.03,2026-03-11
QLD,Townsville,N/A,207.98,N/A,226.13,245.84,2026-03-11
QLD,Whinstanes,205.57,206.98,217.07,227.34,246.41,2026-03-11
SA,Birkenhead,N/A,208.03,217.93,226.33,247.12,2026-03-11
VIC,Melbourne,206.32,208.37,219.44,228.23,247.69,2026-03-11
WA,Perth,N/A,204.99,212.42,219.73,245.26,2026-03-11
